UserId,ItemId
24,471 1305 1324 1857 486 589 1496 1603 361 741 1031 1673 2807 334 170 3068 457 3083 2127 1931 1456 465 277 2651 593 296 3182 2115 2185 585 865 631 2885 3186 1505 1474 515 2899 1922 935 454 3041 2291 117 1915 3142 72 714 372 110
25,485 167 2783 770 2031 2149 1456 2747 1657 2537 2174 494 2455 471 2464 2312 3041 1200 1812 2351 1386 1786 2030 473 2997 573 2086 1656 1411 2536 2034 706 1405 1195 988 1409 865 783 749 1800 3026 2127 594 1185 1274 25 299 2568 1193 3013
26,294 919 13 2661 307 1656 571 1001 1614 545 1048 259 2741 938 1152 2627 971 697 2173 1575 2350 593 1218 847 2810 346 1770 1219 334 2685 2651 2976 2638 3162 525 2527 2979 822 845 553 2398 2805 1268 2163 2380 1861 1020 1209 2119 2473
27,571 919 847 1795 2627 450 397 228 3105 2259 1219 283 618 1414 1988 1321 471 1209 766 625 294 2832 1802 1856 415 423 741 2002 1808 1132 3204 2986 1928 2173 1556 1026 2865 3161 3040 2976 3140 2970 2544 3008 2821 2573 2178 2338 331 939
28,2811 1054 1154 2164 825 876 1975 91 2196 1861 836 2413 655 3150 3210 2887 1964 829 1686 155 751 1299 2306 2129 629 676 2316 2113 2089 2499 2866 1088 677 553 394 119 692 2594 1200 2921 2362 2550 2959 2970 2885 1117 1895 1240 3142 865
29,3090 1386 2652 2470 74 803 2650 3233 3059 964 2111 991 1643 1560 1023 2371 2807 1498 186 1879 959 2236 957 868 2393 2937 2649 1579 1060 3236 398 521 2351 2976 2064 2714 1944 2810 1770 2155 1811 2080 924 3104 1071 48 3148 602 2480 1348
30,938 1474 2977 2546 1195 505 2351 2878 1020 331 1575 471 3142 706 1614 571 1857 2173 865 358 2757 2661 1430 2855 362 697 1200 856 2455 2841 294 845 905 3220 1197 1006 954 2537 1339 655 1868 741 2527 2163 2474 751 2087 465 1001 589
31,954 2977 2811 1054 1896 1575 751 938 1975 1317 1154 3241 2887 825 2115 335 2297 714 2631 1861 1002 905 1006 91 471 2113 358 155 2885 2431 2841 458 2164 655 2089 1197 2474 1797 706 987 443 676 613 25 2652 1268 1415 1015 2648 1871
32,1956 2111 845 214 470 3142 2299 1020 2757 4 1575 1402 1034 863 2173 3078 422 3209 3084 748 2702 924 942 2568 1770 490 589 935 307 702 2171 949 3003 1156 1195 2541 1200 2962 1567 2035 331 2428 1784 1643 1241 2602 2724 266 1533 1305
33,311 809 3089 2958 1999 1153 224 1554 392 1733 2396 2794 2842 1867 566 3051 2450 2905 1638 1463 1758 1539 266 1599 3081 2218 1859 2015 1299 1064 2721 1845 816 2344 2406 1380 2830 2181 2577 1241 57 2244 1710 2446 966 2486 1926 721 2602 1453
34,1575 1200 719 471 1185 505 1681 637 1386 465 2022 2885 1195 2940 783 1770 2845 384 1474 2855 496 490 167 3040 2024 1812 1197 294 697 2971 2031 2299 3176 2661 231 2351 2726 2320 1715 1784 2117 457 2470 1673 1949 333 981 1034 938 706
35,1386 1567 1770 1239 517 465 1474 275 2750 865 783 1956 719 2173 3209 1575 1868 1185 1681 280 2855 3189 2616 1254 1722 3237 644 2841 2217 637 1193 1137 698 2198 2351 3257 2710 697 1941 497 3059 2455 1063 2986 385 2472 1455 147 2463 241
36,2810 2805 1941 1055 163 98 1362 3189 2380 1048 590 1549 2734 405 1387 1558 294 2385 1852 2217 126 2417 2072 64 1861 598 759 981 755 971 2809 1507 1475 1873 253 1984 734 732 544 712 2638 3089 1957 776 2496 2958 2056 958 2111 1976
37,2805 2651 553 1048 98 2217 231 655 1213 3150 734 1268 2810 2977 545 1976 2809 865 1387 2734 1474 1861 2385 856 405 1613 2193 3189 712 3186 1475 1912 755 443 2115 1941 1873 163 2499 876 1195 241 905 829 2431 2417 1197 1152 1362 1558
38,2726 2472 783 454 2055 2932 2875 2308 1254 497 1268 2325 2986 2976 2585 2441 2338 2488 1591 1695 1238 292 1964 1651 2111 1941 1040 3237 803 988 1939 2428 1868 1446 1292 2649 3189 275 899 1575 2810 1443 3218 1386 2295 465 2182 1213 2080 2022
39,2222 2536 176 1835 2622 494 3037 1677 387 1424 117 2100 3071 1197 2770 1465 1619 706 968 1405 1307 697 2928 2575 3178 1829 2455 1364 84 999 471 992 167 88 621 3190 46 1230 745 3207 296 1756 1949 2464 86 2458 945 594 2940 2007
40,2971 1200 275 2455 845 1575 706 1020 3031 988 1386 496 783 2351 2107 1185 697 2312 2173 465 2117 1113 3147 490 2885 2726 2470 2977 505 2022 384 2661 2464 2538 3092 1958 2527 471 294 2463 2862 1339 1195 3220 3023 2651 981 1812 1056 756
41,471 783 1325 384 147 2115 1195 2474 3237 2232 443 2661 1755 2466 454 2845 3124 2862 1125 2946 1958 1196 655 981 1353 856 3220 2392 741 335 676 2006 358 837 1088 2070 3187 1567 2193 2320 1544 976 869 490 3176 2464 3186 486 1224 988
42,2805 1941 1362 677 981 2734 405 2320 98 2380 1387 1377 544 2638 949 1048 553 3089 1804 685 598 1137 590 2350 2496 958 2565 1549 2270 2299 2001 2385 897 712 1613 2217 1770 270 2576 2741 2020 294 2869 1852 253 3236 1957 1008 1999 776
43,115 1967 454 2134 48 1088 100 1474 13 1784 1001 3145 2976 334 1292 2551 964 2428 1797 471 1917 2726 186 2883 588 3014 2937 1239 2986 2696 2529 1127 1533 2472 1242 3186 91 1402 2080 1567 2173 1289 1685 443 1272 1915 2057 910 1871 1203
44,2499 677 553 1055 595 1549 405 598 1873 1029 163 1861 590 582 829 1137 1475 876 1804 2809 2413 1087 2385 732 2937 3009 2931 3134 2726 2852 872 1613 1041 1025 1912 552 2533 1558 2020 2805 1085 1957 1152 444 98 2734 253 2651 815 191
45,825 2977 2866 2887 629 3210 2392 2362 2957 2305 1299 1002 676 319 405 1117 1336 876 1432 2129 2262 1861 2089 2297 829 155 710 2930 1240 1650 2805 1203 987 2889 2406 998 613 1531 1006 2959 1200 2217 119 1088 2652 1415 751 1895 2921 1596
46,2726 2470 2350 2163 2320 938 2147 2958 1386 2652 2810 2217 964 2977 346 545 2111 91 405 100 1475 677 115 1575 2173 2022 1032 651 553 1784 1299 1567 490 1195 1020 2937 3209 954 1213 3241 1973 2413 517 1055 949 856 2551 3142 2866 1964
47,48 1770 2652 2885 1784 2472 2883 2320 988 1386 865 1268 1423 1868 398 1861 2338 783 1651 637 2855 1812 2976 100 1031 497 3220 2111 803 2537 2176 3049 517 2616 2661 553 1369 3064 1156 2398 3014 426 938 2977 471 2295 470 1498 186 2986
48,2350 1386 2320 2885 1941 2638 2805 2652 1197 553 2351 465 1048 3189 2111 405 2182 2299 964 958 2464 1362 2651 2380 2312 2537 307 2726 865 163 2217 294 1861 490 1812 3236 333 2193 981 971 1868 3142 1474 2977 590 2385 1307 517 2541 3241
49,2030 780 496 1352 2823 3231 3248 2312 2222 2940 2706 2031 2537 1135 697 663 2645 898 167 859 2738 1803 3181 417 307 2840 2299 2827 2514 2464 3015 989 862 2326 624 267 865 3078 494 1397 579 594 1143 1456 84 770 1230 1200 1469 3109
50,1325 2339 2805 3142 1673 2940 117 84 1405 2455 2174 697 2222 1185 1386 1693 1197 714 494 2034 275 333 621 2464 3037 2007 1614 1200 655 2946 968 745 1195 2664 3026 2299 1465 2885 1942 719 3041 2312 545 938 2066 1949 2902 1407 296 2445
51,3031 275 2537 2971 1868 2525 1262 2845 1761 1353 678 1455 1743 3147 1099 1635 2392 2124 332 2332 1196 371 2476 2791 1132 2306 1185 2504 2283 487 2162 384 1409 1057 960 1203 1722 1214 1795 895 3187 505 1127 1617 2661 2671 2607 1954 1681 1347
52,2431 1224 2193 2196 677 1317 91 825 1002 1299 836 2316 3210 2392 1797 2413 2887 2129 335 2631 2113 2866 1686 829 2550 2362 2306 2889 2957 876 337 2297 1855 1432 751 155 358 692 629 1088 710 1269 1117 394 1531 2385 2182 1015 2089 2594
53,1575 1268 2320 2350 2810 405 1770 91 987 1386 2182 2726 1941 2885 2217 2022 1200 3189 856 2652 2805 2111 677 1475 163 2464 1197 2937 2193 517 2413 2541 1474 1362 1956 1129 1964 1432 1117 1975 1804 2385 98 2958 3241 1239 865 2299 100 981
54,471 2805 1048 294 2470 490 2537 2651 712 1558 1861 1770 919 2455 2638 1130 1868 1213 2902 1684 1871 13 2661 964 1720 1185 553 590 486 2193 706 475 1941 3142 1197 2879 170 593 545 1268 2320 1115 1034 3220 2182 2809 981 358 2971 842
55,2514 505 663 1681 1474 231 2537 1455 2039 2024 494 2536 968 333 2312 18 384 471 1868 1200 2706 1860 976 3220 3032 1786 698 2117 2222 2833 2651 457 1325 1693 1193 2466 1196 2805 2940 1268 2034 3071 2007 2180 2622 3142 3078 706 2814 1405
56,1777 2096 2262 1269 2714 2950 2926 1700 1386 1210 1533 2702 199 1714 3224 1831 1159 959 1019 1972 1142 439 14 803 1990 1706 519 2621 2071 2339 1220 1197 3090 1641 39 694 1385 655 1292 2428 2307 1117 2225 1340 3202 679 3117 2654 2568 2606
57,231 2651 2805 1200 2455 471 1325 2537 1861 876 384 3092 3142 1722 372 976 2809 741 1784 2320 714 2380 3189 2971 651 598 2128 3031 2885 1365 2115 776 734 2124 150 358 2392 3040 1520 553 1770 92 1941 1804 443 1871 2855 2466 1386 1137
58,1154 2392 358 2217 825 829 2306 1686 2959 319 2193 2977 553 3150 676 836 2546 1054 25 1383 2385 2887 1873 505 3210 938 751 677 2648 734 2305 2115 2089 155 3221 119 2352 1450 1299 2930 2499 3201 2225 2262 1129 394 1006 3241 692 405
59,745 259 2339 845 1189 176 655 1891 2445 2685 1730 714 2487 654 1365 2115 2536 1005 3159 2831 312 2979 1283 430 2795 3071 1619 3156 622 2275 2086 1216 837 1015 2514 1063 1242 2629 2941 3182 589 2651 2411 2006 1302 1521 2127 648 821 2879
60,241 2217 1213 2810 2651 1474 1873 1984 1861 2809 2805 2128 712 2934 1268 147 1558 3106 444 2466 2931 1941 1048 1722 1804 1196 1137 275 2726 3187 2555 2499 876 98 865 1507 2117 1681 2380 405 1621 403 3220 1575 2385 64 2039 505 253 1475
61,1868 2350 1575 2173 2971 2726 1386 637 988 2455 2022 1784 1567 294 845 443 465 2351 1268 2661 964 505 346 384 719 454 2937 1056 2810 2855 697 2521 115 2862 1185 2006 307 1941 2464 1812 1197 2651 1861 3147 545 2638 170 1106 1871 1339
62,2464 702 1386 1198 1835 3078 2403 1889 1949 2179 18 3209 767 275 918 2536 427 1013 2537 2831 417 2108 1023 77 517 2320 2007 457 859 898 1786 494 2458 999 2190 88 2404 85 1681 2013 698 2541 2435 1155 226 2034 1907 697 117 2706
63,2688 3145 1239 501 1200 147 1226 2652 1195 1681 2933 2875 241 3187 2111 294 3031 2466 1837 1056 3039 1455 3040 471 505 192 2351 3241 803 976 2428 981 2963 1057 2649 2217 2885 2057 783 231 405 755 2878 1990 1871 921 2696 2070 1685 1127
64,319 856 2885 825 2957 2297 2113 2887 231 2631 3210 2217 905 1002 1896 2470 2182 539 1325 2855 1596 465 1895 1317 2648 1203 2866 2726 1152 1299 2196 714 1415 2889 692 553 1269 2129 1432 2810 2413 394 1602 2193 1518 2406 1006 2306 876 244
65,2320 100 2350 2875 702 2464 1197 2616 987 1722 803 2351 1818 3241 868 470 241 1474 1239 1681 1289 2937 1371 1443 2182 1185 2179 865 596 3059 1498 1106 1575 1714 2688 1348 719 1868 1060 2127 1193 698 521 3209 945 501 3145 2841 231 1318
66,2810 2217 829 3189 1873 2805 2651 405 1055 734 2499 2193 98 2380 2385 1941 1613 1152 163 1048 1804 2474 1475 2565 2417 2225 1029 64 1137 2470 759 1362 598 590 1770 1474 1383 545 2809 981 358 1852 2734 1531 2546 2977 126 490 2869 1041
67,697 845 2002 2309 422 122 1920 3003 2977 1006 2841 1200 2173 199 3142 465 1195 2962 2351 706 454 2127 1168 2022 1185 2262 2855 331 468 2726 48 745 71 1260 2011 1868 910 2940 2312 2176 1575 2031 1165 259 115 3023 751 1269 2537 1770
68,1567 280 1956 100 796 2463 1939 1983 3049 2932 2359 2464 767 770 2472 1060 2551 1193 609 48 1818 229 18 1800 2012 385 166 2541 3129 255 1245 814 2198 2888 2883 2055 3257 2441 1078 2986 2035 497 2203 3229 2885 296 2126 1133 2350 824
69,1575 865 968 505 1185 1693 719 2031 1455 2455 2706 1812 3178 2022 1034 2814 1197 2007 1405 1860 1307 1336 697 1195 3032 2823 457 1474 1456 2039 2351 898 273 1386 3078 2845 2206 46 1681 3031 443 1116 2034 2536 981 3248 2066 3013 2460 1803
70,1575 2320 1770 2464 2022 2350 465 1386 2885 2855 2470 275 865 1193 2299 1868 644 471 2726 1443 2805 1195 1268 3209 1784 981 231 1197 706 719 1573 517 2638 1567 3189 1307 3236 1156 1474 2652 1185 2977 1455 1130 2750 770 598 2006 1871 294
71,471 1324 2066 457 2299 663 2902 2997 2928 2664 3109 1835 2007 2208 1734 1424 1677 1575 1417 387 117 1307 621 3068 363 3041 46 1765 2899 2622 706 1197 1573 299 1860 1156 3079 486 1456 770 1115 842 1871 3127 1874 217 2514 401 2508 1343
72,2724 431 2270 1956 949 1922 1999 1410 1241 2850 270 302 551 1389 3078 2435 2318 1539 3080 85 3209 2955 1034 2958 2365 1470 1991 2396 504 2703 577 2749 2496 1845 1697 28 809 1817 3022 958 1045 311 1372 2743 435 942 2516 307 1386 2541
73,1575 2006 706 1088 1185 2055 719 1474 2976 2455 170 637 1119 3049 842 490 1239 2885 2652 3237 1973 1614 1130 3142 1325 1115 2398 2937 334 2986 2944 1386 1268 2441 2971 1765 1681 2464 2173 280 2875 3014 13 2174 1520 465 2007 988 2176 1292
74,637 2455 465 1575 783 2351 490 2470 2464 1681 1020 2173 1056 2521 2977 845 2652 2940 976 1193 426 2750 1871 2031 294 1295 486 2645 167 3040 968 454 2006 2350 1156 2966 1119 2283 515 1135 1369 457 3209 2107 3186 2845 1106 1857 517 2902
75,3078 84 2547 3032 2549 1693 1465 1637 2312 3026 1793 2514 2831 3071 859 412 3013 689 329 968 2814 2013 1860 18 2108 2100 2458 770 176 3248 457 1348 1756 2497 992 2724 1660 918 1505 1536 2269 2608 2980 1013 3215 594 2537 1341 275 871
76,1386 2350 1195 2022 1197 1575 2470 465 471 2810 2464 1770 2855 2320 2312 2651 490 770 1213 3209 1956 333 2652 167 296 2299 1941 2182 457 2514 1307 277 2222 1923 2726 346 2217 505 2351 2940 517 1185 294 3041 1218 1048 3236 2805 307 1505
77,2651 2805 553 3189 1048 865 734 2385 1613 98 1197 637 405 1873 2351 1507 1684 1362 1474 845 1034 126 490 2934 2971 444 163 275 2022 1307 2885 3134 1804 2763 677 2977 1852 253 3092 1909 1185 2474 755 3220 457 1152 1957 712 2128 2726
78,423 115 2320 100 2976 497 1784 454 2649 517 1973 2883 1268 2696 2810 2428 1239 1567 1956 2875 1443 1195 1818 1651 2472 1292 644 3064 2308 532 1446 1941 2163 470 2147 1737 2217 2176 2616 1864 2933 1213 2463 2551 1800 296 2012 186 783 2488
79,115 2750 48 2883 814 2198 497 2111 2384 2696 2308 1239 2705 2649 1770 2338 1784 2398 2227 2044 2472 2428 2875 2147 1737 2325 1567 1864 1446 748 1200 2488 3014 1371 1292 2255 1695 1238 2810 1651 2393 2080 2693 1447 2055 987 2595 3104 1268 609
80,2217 1474 1975 25 938 1224 319 1405 2464 3229 856 2631 825 2805 2855 2930 2514 2499 119 1531 1386 2811 2225 2039 465 1185 1154 2403 3194 2196 905 3178 2262 1896 2810 2380 2115 553 2885 3142 3210 712 836 84 734 3032 613 2887 2546 697
81,2652 1292 2163 497 2338 1990 454 1254 3189 423 523 2182 2488 1964 1612 1591 2472 1088 2799 3052 2714 2963 1213 2302 2595 405 1306 2176 2478 1402 1695 1370 1147 3236 1936 2401 163 2545 40 973 1010 1575 2670 1386 43 292 553 3118 2638 116
82,1474 1975 358 1224 2811 987 2546 1268 825 91 2392 1002 319 1861 1432 119 458 938 505 1325 1964 676 2217 1054 3210 1088 829 2306 836 3150 25 2297 629 2164 2930 2316 1405 539 2957 2550 1383 692 1299 2352 905 3221 1336 714 3194 1797
83,1443 465 517 644 380 1567 3236 18 1770 2198 255 1290 814 100 454 1983 2384 3229 2883 346 2035 48 115 1060 2350 2463 1486 2551 3237 2986 3129 2650 2693 748 1423 1498 1737 2810 2888 2932 964 1941 2055 1088 2006 1013 2126 1133 1121 470
84,2527 3026 1656 2940 1195 294 1614 13 2661 485 968 2855 2178 2514 490 571 334 697 1575 1521 847 2259 2997 1298 1321 1185 397 1657 2455 745 919 313 585 2607 2537 1422 454 307 2351 2747 1720 2821 1407 384 3041 1496 1417 1197 706 2627
85,2039 3032 2144 2547 1193 427 898 2403 18 859 2814 1875 767 1956 584 496 2359 2030 1443 3022 2823 770 1013 417 226 1200 2022 663 639 2608 2497 3021 3209 2190 2537 1681 3110 1784 1134 719 329 1835 3013 2480 457 1889 1072 2622 517 1880
86,307 294 2350 2320 2805 1377 1770 981 3089 1529 2299 2724 266 2638 1697 2741 1237 971 333 685 2318 2380 2958 3189 302 2095 405 2270 2361 553 2810 949 1362 2824 98 2193 1999 2182 2850 2734 431 2651 2365 2885 163 1386 2001 1417 677 1389
87,745 2652 457 1430 2855 296 3090 471 1922 2111 2979 277 307 2757 1195 3229 2100 863 1857 1260 1714 803 3207 1942 387 84 479 1348 3190 2831 2844 959 3142 1204 2173 485 3109 299 589 945 186 964 1693 1673 1424 1230 2031 2536 2706 2962
88,2070 2320 2350 1804 2193 1362 98 280 1770 553 2726 2466 677 2133 1365 820 876 2103 1685 981 2810 1259 2272 163 2944 865 2932 2464 1544 1200 1558 405 2885 294 3189 651 1872 1861 1520 2068 1239 2590 2217 2474 829 2626 2299 2752 2111 1868
89,637 275 783 1575 384 2661 2971 2902 2455 1614 505 1365 960 3176 2537 1784 706 2527 3040 1795 2685 164 3220 1567 1958 372 295 2007 2117 490 842 2726 2178 13 294 3147 1715 1770 1455 2977 1765 976 1321 571 1132 1730 3156 426 2350 1672
90,3158 2086 697 682 1462 1529 1762 1972 84 1723 412 2568 2002 2403 3032 2039 1907 1386 331 65 2940 1902 745 2651 545 2022 2455 329 1465 468 2309 1927 197 2788 2536 1820 2351 2885 2881 433 230 518 3078 639 1348 1777 88 2538 2547 2127
91,677 2652 1770 1048 100 803 1804 2499 241 1547 2163 595 294 755 2933 98 266 2380 651 1106 1990 2270 1558 1029 2072 1386 64 2799 523 2734 1991 685 1377 2428 1362 3059 3039 788 3150 525 2413 490 2825 2496 2885 2934 2651 1984 448 1613
92,128 1194 3142 2788 1159 197 1339 122 2002 1531 1006 3241 2841 1777 2262 2339 14 1641 312 1942 938 2885 1385 2258 1197 2369 1857 3023 2571 284 1530 2652 2817 2592 3202 545 575 2568 2960 272 3182 505 2962 1700 2096 1474 1902 1379 2225 1168
93,2320 98 1770 2350 2380 3189 2193 2810 981 1362 2726 294 163 3118 266 2299 2724 545 1984 1558 949 1386 712 1055 270 275 333 865 2638 2652 590 1861 1185 2217 1956 241 1377 2885 2022 2464 2496 2734 719 2270 2070 100 1852 307 1529 1991
94,987 2217 938 2413 232 1432 957 2474 2811 1475 2652 2022 1474 2810 465 394 3150 1224 1137 2885 2750 2726 677 876 2541 1641 517 2957 1797 1964 651 2198 243 2866 595 335 1861 1804 829 1087 3210 1154 1873 3241 1857 553 2631 814 1596 1941
95,468 122 2309 2262 197 2972 2213 2962 331 2788 1094 906 1430 1531 718 655 2217 2086 1529 764 545 636 856 2817 863 2652 1762 1145 2011 751 1927 2950 1142 244 2936 1019 2069 3158 312 71 1137 1909 2444 1452 239 1212 199 3150 405 3085
96,1185 333 2320 2299 2805 1023 417 1770 2940 1348 698 702 2514 3118 2193 2380 98 2463 3178 3209 1197 2885 294 231 3181 2541 2651 3189 277 517 2855 1648 697 273 637 2726 2030 2706 2179 1793 2958 1474 2814 2350 1362 471 1443 2108 505 2117
97,517 479 2541 2320 192 1470 926 3039 2850 596 2171 2179 1643 1046 2470 938 936 1289 2937 91 1612 748 272 3059 14 1465 1722 1879 2431 2311 2875 1602 2435 1990 1714 2147 1942 853 1071 1237 786 788 3209 2393 2343 949 2866 2880 241 238
98,2320 1770 2937 2883 100 1443 517 346 454 964 1239 2696 1567 644 2044 2875 1956 1973 1964 3064 48 987 1737 2308 91 3014 2932 1651 2551 497 2147 2472 2338 609 2810 1864 1423 1195 423 1129 2441 2398 1446 280 1254 62 2198 2217 1800 2790
99,275 865 2971 2527 637 1868 3220 3031 1185 1226 981 1715 3176 443 1770 719 2661 294 358 3040 2392 1684 1200 976 2283 741 490 1474 988 1321 1195 1681 1243 505 2862 384 2470 2312 1132 847 3187 2821 1938 231 471 1881 2320 1127 3147 2529
100,2320 1770 2541 1941 2464 2022 1200 521 465 1060 1956 1386 1193 2350 2182 2463 2958 280 380 1362 2724 2888 163 824 3181 1078 2932 2650 2171 767 2133 2035 302 3130 2361 98 2760 266 2299 783 553 2551 2072 1486 1983 3229 2441 3129 296 1237
101,3176 84 2527 1575 3237 505 2031 968 454 1185 2855 1260 2940 3229 485 975 275 1715 2022 697 865 1125 2178 465 1407 2645 313 2821 2470 471 741 719 2726 2537 676 1200 749 1681 3118 1770 490 1321 3040 1474 2661 1656 2991 489 1614 290
