keyword,movieID
horror,62008 69720 48872 111663 5489 27563 3007 132153 27595 58332 407 97194 2867 2787 160872 2657 1734 3016 82366 1327 1346 5060 26409 53894 160978 7012 25898 7730 71205 3459 33896 74075 1927 5649 165343 1407 48045 330 3832 144620 2754 4310 33085 33683 54910 57637 26357 7202 2327 44773 2358 3830 610 26492 5308 2472 274 3248
mystery,159061 3521 104780 5072 153070 34532 136355 492 51666 7115 5021 1517 2841 171917 2723 5316 5419 37386 67799 140850 90738 38061 6033 7369 136341 360 85295 45447 90866 8290 63113 7102 114925 183611 2889 47810 79274 4517 6538 671 7193 64285 8228 109723 5787 58783 53466 104141 162600 8368 109864 38038 45668 4546
sci-fi,5390 1414 27905 3576 27793 127323 7743 2681 34048 64997
war,115969 66544 93040 26840 51024 4917 55116 107408 47894 5107 91126 64231 7936 5060 4577 182639 7986 26350 5747 31116 76751 168608 2839 3609 27869 1262 8010 5720 7065 5550 7212 1184 5059 83827 126430 199 991 56788 3992 26776 152284 3808 7762 58842 2320 55071 58191 27513 2662 4916 7368 96518 122260 5690 108689 6777 665 3153 69481 8477 8142 1267 6454 34334 141668 5995 3415 9018 214 53550 1008 27692 1411 1676 6791 94325 139644 1090 88448 27866 4523 36529 8197 27036 32456 8045 7560 4349 7481 632 7124 6818 32770 3365 25927 4473 3150 27912 3117
musical,182293 100611 182299 176389 2102 6611 791 3808 1329 3089 46062 1156 118530 8748 4424 32917 68073 4789 44889 155168 5113 144716 166024 1767 32019 184791 7979 46970 32620 68932 1310 43708 7786 27595 935 97168 8998 175397 53123 5137 173235 55872 8535 112552 2691 61246 6345 56176 100556 3581 6568 2996 3398 5285 1449 56805 6849 4831 3145 6454 48744 3599 7060 62 3791 96488 4168 8954 8024 6856 107408 6375 8580 4775 5465 5472 26782 7142 58309 27815 6390 2084 127184 3725 61123 1416 51084 103107 7815 5508 1583 2677 3679 26084 46347 8778 26796 3625 116718
documentary,94735 184245 26176 117531 171011 6408 27829 6042 1111 128900 71640 90769 173317 6400 1191 1310 49263 6772 56563 3281 97168 3303 7141 6598 6299 8577 2973 3142 7934 105250 94130 97230 86279 6775 27882 27176 2492 150696 3327 9018 165843 4217 178129 93721 8906 3007 178323 58879 49132 6692 32314 81910 33435 43708 104272 8954 6375 1147 84273 27879 85774 94799 30892 2984 46862 27912 80094 159817 6380 127164 96150 372 45 100556 2494 44511 70687 556 179135 5325 145283 45928 114126 99 70862 127152 98122 8938 1856 47999 134796 53894 136654 68522 97866 127146 4711 8979 27846
imax,157432 102378 304 155892 1605 8143 2044 92420 4822 3 135436 461 71899 122882 3537 7940 90769 1440 4297 60538 4410 141004 148632 182823 140711 48304 7328 7939 1348 103075 8405 142424 5993 114707 89945 7820 111364 173925 4775 1783 4282 33124 4278 1997 1237 1839 2120 529 7936 114762 71745 8987 155509 4036 4748 91660 3185 140627 71 75813 51357 3702 239 2074 5464 5949 42002 62644 3497 109846 3770 4941 5768 379 70451 6402 4453 101577 3703 414 168254 5650 32017 45440 3501 54648 4749 62394 160400 8136 74624 53466 1587 127204 4189 5590 5919 3704 96917
western,432 26258 61289 42556 6412 3679 3681 3671 1927 3680 26195 144352 40414 42730 1282 8376 7937 590 4406 111146 1476 26861 2668 172585 4979 101 4546 94959 7930 92309 5588 183897 102742 1347 108192 2395 366 5569 109374 113565 72226 4619 93242 44777 55269 79677 2387 74370 5102 4321 4089 101973 2688 37211 30810 3359 2996 117895 1103 2839 1209 7260 27762 6809 3100 1327 102481 2142 134808 183635 586 936 3534 80615 184471 2465 44397 212 710 3273 160836 173197 86295 2524 27329 2701 1717 148166 35957 3834 104303 4453 32011 95720 4412 3454 55294 43932 2044
film-noir,3966 60737 2110 99764 79251 7879 8827 2770 2674 8512 86504 3625 7730 2710 78746 8656 3858 48045 38159 127172 27006 3266 3609 5390 80834 7979 109968 127180 61236 33672 69988 2505 109383 6062 759 496 97230 131023 81087 2573 120813 136449 3539 2492 142444 25750 5817 49932 178129 2488 5993 3571 2493 27692 8906 3007 2537 52644 106594 59336 8197 5004 3273 85394 58332 2984 59141 47774 5385 4278 3002 5530 3910 97194 156553 922 96606 26599 8582 2671 88094 5515 27255 899 129313 3929 89904 12 84240 42007 6974 7455 3235 44788 6271 8938 142366 1288 1163
john,42191 120807 123200 5284 148667 2926 829 999 4002 48741 26401 4863 6263 5062 537 532 4167 111622 3726 5773 4679 3732 6656 2361 5637 98491 5780 2952 4322 1772 2997 1711 1680 100579 48744 3265 4371 5712 4003 7920 3283 1128 6517 1254 4323 1379 3700 61406 100044 1220 158842 2682 133802 4553 7173 5447 6196 4523 358 1187 1218 95 6375 5736 110586 110718 26603 59220 53123 54962 3365 3251 2517 47124 3095 5440 26285 129354 1321 77421 3090 7071 7072 800 3527 913 3364 4234 6820 2288 39307 8131 1552 1293 6796 68791 5735 88235 174681
lasseter,42191 1 45517 1300 2355 3114 4546 87876 104245 195 73290 167380 8117 74688 5016 113275 93740 4014 78499 3148 100527 52375 37475 337 42015
pete,88345 5256 68954 160573 134853 58103 4886 33725 1542 1030 99117 1 41863 78959 96737 7319 60069 79879 475 1255 26554 85022 661 3114 1544 36708
docter,88345 68954 134853 4886 4546 1 60069 3114
more,4454 6299 109383 95311 51086 57502 3677 151759 63179 987 91233 86286 5272 3991 50354 139511 141820 96815 3398 2899 23 118784 109161 2791 2364 104141 33801 301 1024 596 117133 18 46347 178613 32917 1135 87867 7789 95167 155168 69529 26340 143559 3681 100397 2080 33896 81417 947 7019 175707 1466 8831 80748 54372 27246 182749 3483 6909 3066 2090 153236 5900 158254 7102 915 5945 7317 1029 2018 89047 7018 2868 1405 8426 4397 3266 141544 110286 42734 7845 156781 114627 4447 3213 159403 170297 84374 31696 1282 2257 7031 2286 188751 2048 6821 140561 5974 594
credits,160848 6039 47721 2784 2373 121171 42734 306 84637 4942 5498 3981 67508 1336 35957 2972 79274 98239 104241 50445 4531 3673 26236 6660 81229 61026 2754 103810 32598 7070 7325 92234 169912 26764 6535 116668 48649 6920 2804 7646 68486 27776 3441 26686 7844 3727 2686 1610 157340 130444 8501 106594 861 7115 6181 1034 182727 85397 166 1280 93193 5961 1686 4284 110541 27878 4826 89343 373 2427 118512 5630 74789 507 6299 151759 63179 139511 103449 117133 2252 95167 2080 33896 175707 27246 3066 2090 1405 3266 115151 159403 170297 5974 3964 152081 1349 1032 27899
tom,128914 183959 7141 496 7125 87522 3957 1042 2692 4255 1503 77427 162344 59018 1243 4380 99992 176 79073 331 7103 109483 85881 131130 5942 2867 26504 26861 44004 3958 3393 4340 1857 6867 1100 8225 5452 2840 2028 2629 1948 6033 149334 1667 2822 3130 130087 68835 544 26887 4687 7102 6476 72720 115969 64010 65601 1979 7460 168350 2017 97752 1500 7294 4304 160980 100843 2915 80584 2476 2260 4180 66198 3966 96471 113186 1614 1731 5925 142420 3525 142488 62849 4608 3370 2375 5081 27002 139855 55946 164 67193 8379 107962 2407 52831 1426 111795 8363
hanks,87522 1042 68444 167706 160980 3525 27674 2375 27002 2072 4012 4022 5025 4677 8529 2418 3255 1 539 45928 2797 2028 508 143365 5303 3130 5464 45447 180497 91325 150 2424 7102 5989 356 78499 2100 61250 107141 7367 68554 165101 97752 3147 105504 3114 3385 77177 56788 8965 57526 143385 52279 115170 6382 27373 51709 8093 3760 48001 5451 3145 4149 142598 8918 27869 88356 54648 7753 2766 2889 3414 187595 58162 122886 876 1735 6166 135216 1824 188301 122900 1210
tim,106889 1171 2016 51498 638 3888 36 3145 6753 75813 3955 1870 97172 5682 4546 3971 5615 73822 1671 4643 36397 2291 37729 26693 84615 4342 5416 4505 7155 1243 1447 2323 4808 5629 88 2095 47202 3361 58301 1601 2707 4052 2289 96608 4591 1254 318 2143 1703 881 8800 5298 59336 5632 147410 122904 1777 78316 5334 112334 633 89208 27075 3150 67186 48879 107702 4852 4218 2691 104 5572 44399 26861 83 45175 160 317 130520 6870 95149 56176 31698 216 5177 1 49735 2657 7048 4991 4388 839 2174 93988 4774 3476 53974 4215 96373
allen,3042 6754 42738 1078 3814 1077 2973 2290 5339 7934 5745 4409 4733 52 7983 2668 1963 492 3812 3813 4392 61394 95201 4393 1057 3618 102735 6100 1230 3129 3040 1663 6584 2750 4504 7084 5348 3926 41285 2356 1701 1391 139415 1244 91974 2065 95875 46967 42725 102749 1476 4517 113225 6993 53972 45431 43836 2534 32291 6750 493 60950 80864 179709 348 103980 4628 57147 69604 86882 159193 610 42 4408 5387 1840 48678 2321 30898 58191 4932 5723 5543 95796 73290 62383 2330 5712 3661 1703 64032 2985 5938 6348 2537 1546 59336 3952 130052
don,99764 148881 3839 3008 2016 1885 2901 8967 3837 102735 1007 174737 1497 1030 3987 50354 224 34164 2315 3838 2139 1993 1992 4915 6755 1991 1465 2051 233 99437 34437 124484 4203 3836 26283 66915 41724 2876 130482 5919 2123 45732 97923 2664 3573 2098 2095 7236 34338 95796 2686 2407 30749 7063 40478 70565 83969 81910 26464 50356 2371 8045 1147 3208 4378 95583 5384 2141 6746 33677 335 5231 63033 4361 7377 134334 852 2521 105213 2050 2699 4023 88235 33166 6568 2790 1 4710 4533 4412 33801 7757 7261 172215 30846 4577 127146 65230 7884
rickles,175585 60753 100737 3836 34338 1 127198 5650 27689 71462 2540 1055 6954 81456 6720 199 896 1137 7209 2662 56563 113374 7299 526 4942 4237 1873 841 1702 5664 27815 4772 70565 1415 26095 88744 93134 59014 170399 99532 2731 4298 128852 63808 69251 3033 75 7116 26567 2249 277 4383 5932 718 8128 2746 128944 2418 3243 34397 26340 5088 2860 175693 1635 60937 73 26409 4221 43932 60408 91353 72489 6559 4351 2054 6773 3574 74530 355 3592 37477 8623 6889 373 104074 75803 68600 31225 836 91355 117529 4721 2053 1983 2096 58839 3013 85022
see,80478 128914 171011 88345
full,69134 163925 57502 163072
cast,4180
crew,165483 156781 126090 134849
joe,165483 3674 3673 3672 168144 87192 50794 32294 3514 5636 7256 159510 5959 103801 9008 4247 185033 6572 2481 91976 4991 71494 5096 1857 114818 7440 70336 96610 138798 45517 5962 26590 170937 2003 2429 886 78469 179491 870 82848 4392 160836 4452 6612 27329 2915 1503 89580 135937 108981 866 1329 1655 113565 5382 55052 7324 3370 6122 2325 4115 193 4497 6454 43871 34153 25750 2072 1092 134158 540 114707 4121 68932 3700 46572 31692 2827 99415 3331 450 8720 2371 3024 2094 96563 336 829 104457 46367 4226 5095 43912 5127 97936 267 4616 742 32442
johnston,6375 3422 84615 6967 8743 7324 44633 97913 173941 42191 120807 3564 123200 7075 7302 5284 2094 148667 2926 829 159817 999 4002 48741 26401 4863 6263 5062 3132 537 4167 532 111622 3726 5773 4679 2 3732 2054 6656 2361 119964 5637 5780 98491 2952 4322 1772 2997 1711 1680 100579 2006 152658 48744 152091 4003 4371 3265 5712 7920 1128 6517 3283 1254 74452 4638 1379 4323 3700 61406 100044 1220 158842 2682 133802 4553 6289 1187 1218 4523 6196 358 7173 5447 95 5736 69140 1619 110586 110718 26603 59220 34437 54962 53123 3251 3365 2517
jonathan,55553 6249 118834 486 112006 40723 66934 44828 3153 71302 65588 50685 1713 34405 785 88515 59295 1529 7707 46965 141 64983 637 7263 27619 42002 4877 121129 45183 108795 1363 5440 54910 4901 5468 1096 68237 81847 169904 187595 112421 100507 77177 1046 3843 193579 4452 102993 1917 73042 106918 420 143257 1911 6382 111921 111443 122926 3555 91077 1060 8938 51709 4284 53453 8093 6374 101612 3760 1518 48001 128512 171763 140725 175485 7835 130052 136800 1798 27869 54648 105593 2615 101415 108949 3414 27306 109848 114601 122886 2859 876 52668 71668 135216 161580 111320 3531 1465
hensleigh,141718 7439 86628 73822 1596 183295 59118 4345 88327 122884 8951 114044 148671 501 3163 2 5788 51412 117107 8957 118572 1041 165 1917 1479 74916 3587 85788 1650 96114 139855 1248 1267 4052 1128 55 40478 7181 8501 182715 3888 8950 50802 1624 2485 122433 3946 4704 6572 1219 1104 39446 343 5212 2511 104908 8158 48877 869 2009 5968 51927 4329 4248 128360 4974 141799 1397 6527 2600 920 7307 230 3274 8643 471 4615 369 1284 56274 33138 3210 4962 174727 6885 1196 182727
greg,143001 60471 40723 3914 27674 3790 1484 6012 5612 86286 6710 184053 131480 2623 3948 67734 89580 112512 1746 1167 41716 4520 4733 2330 65037 49110 165103 7449 52299 80860 4231 2400 158022 74795 56801 34321 46578 158872 7 51037 54503 103606 981 102165 84772 109897 2416 5255 4149 34330 108156 48520 2 212 61729 91688 86014 2424 30825 96283 47644 110669 7150 65585 82852 67361 1784 801 5680 5152 2027 82095 49347 1629 184997 111785 127202 163639 44943 8574 102007 87430 176051 74754 1429 77414 1105 180297
taylor,7728 5416 175569 3957 47200 25752 68205 2538 71254 88810 3028 163985 55080 8235 3958 4721 5293 8958 971 7335 1392 60832 2015 5637 649 4816 132362 96608 5993 162602 90524 7059 4041 139644 94325 109848 36537 1777 7772 1928 6027 2400 95583 161582 108190 27879 140816 8528 150254 3586 1702 7 96121 5442 1793 74228 2691 764 2292 53447 6573 2085 3054 152 4062 417 45635 1112 8011 2132 113207 58655 150401 948 127152 828 3959 93363 130840 3073 945 116738 1974 3329 7832 3196 2665 2 903 4448 3872 907 66427 98203 4738 3799 1582 25833 1333
robin,171695 41571 1197 102760 520 8934 4622 1513 55451 1562 5499 1027 650 5416 418 2088 151557 6330 72330 77866 48593 73160 170289 1431 8835 3156 3113 3448 2497 45208 5334 47404 5528 5159 1702 26567 5272 3994 1361 3105 1246 8939 1953 3015 71429 3938 53974 1526 3773 1600 82041 63808 85259 1681 3108 122 4754 5053 2 4280 141 5668 2316 294 5131 72696 90945 44 261 3519 2253 2882 143355 765 7390 8667 2297 89492 1476 6773 588 2525 2582 5388 1894 1704 52784 356 2751 3034 5265 119155 500 47261 3190 6030 3489 131739 7026
williams,3268 4789 171695 33162 2718 109578 7040 1704 110130 135567 282 128097 156605 135133 70545 4210 450 5843 4603 1646 1064 5468 8462 91386 4180 113348 8532 564 101112 3372 61692 3276 4780 96518 124859 40946 27473 26791 94018 54934 113 2766 47894 148709 1873 34536 114246 91976 6049 151 183011 262 60756 4629 1997 63859 49396 91485 66943 1056 6400 3786 1825 6911 76175 81788 143367 7987 6966 527 93766 59369 4783 6942 77427 168250 84601 8966 65261 3449 165549 418 145150 1119 2088 111743 106487 4498 82095 96861 46850 2332 53143 4497 1601 982 1797 78469 32302
kirsten,58554 104780 6285 2572 86320 32294 4372 2718 26662 7154 62113 39231 3563 55872 130576 3882 8866 5349 3556 2759 2 82378 8636 4168 1920 261 52722 5297 2172 171759 100302 61250 45880
dunst,3740 6285 86320 2718 4372 26662 7154 62113 39231 3563 130576 8866 3882 5349 3556 2759 2 8636 82378 4168 261 1920 52722 5297 2172 171759 100302 45880
bonnie,131749 3512 138208 82242 1084 2453 48879 333 2415 2120 2 1370 6793 7161 5178 45517 42009 1036 4595 6794 289 93006 93008
hunt,182297 60943 182299 3512 5416 741 3953 3661 36509 4022 2737 1713 45186 5853 152970 160872 3623 1382 118248 185031 120637 1049 547 104913 86815 4018 3969 179073 4434 3838 2 138835 25898 879 97870 136341 8830 51357 736 189333 7019 90746 47 6793 7161 1387 45517 5472 3409 42009 97950 48 183301 115216 1784 98961 1983 96829 5023 145745 156025 2919 42738 3633 77841 32440 91630 173535 146688 6794 4429 71160 558 4846 6817 1610 289 8907 76093 51077
howard,55116 3259 31116 1476 5107 46367 2746 2852 182299 2988 7212 136958 4795 5472 920 7086 65982 7215 2927 112006 152081 7028 137218 34271 3861 3175 4981 4052 2407 47646 56169 2956 3107 39869 93502 1928 112460 3827 110591 2567 2847 2145 83910 4704 1837 959 55156 4051 2728 2518 955 951 5397 31698 460 25788 4710 7477 5970 84189 32160 104913 25865 2193 840 5969 6950 113741 4509 2374 1135 67888 4329 813 5009 371 6744 2660 4995 4339 6785 5372 5040 45447 3916 1035 93287 6872 32862 150 64620 51933 52375 30812 3526 2162 3988 81512 117466
deutch,3861 151739 2145 1837 460 167018 4509 62439 3 1290 7381
mark,4454 95377 47793 136602 83827 6195 3455 40339 54116 7117 4759 2725 1123 6124 92494 3677 6692 127172 1542 27762 7191 115828 5528 6593 5572 8582 47200 1771 4769 68205 2188 5784 1648 170837 36525 95167 4016 26350 71254 502 93512 8383 6157 2390 51077 37739 1784 179749 3 71379 122490 2977 1489 141818 55687 53972 2421 77421 2236 4614 207 4251 107447 127180 137337 2422 2891 90471 64034 4299 3688 69988 1268 112749 113829 3454 2392 86237 111622 32582 60832 6963 6267 2535 69481 2491 34153 3450 7364 2707 4497 8718 71302 4166 115111 58876 112370 1647 8813
steven,110882 4864 75 179491 103366 158956 141846 147374 697 184257 317 393 3767 5047 3048 2105 5881 1186 1546 52299 111375 39414 147376 335 169670 83086 529 2042 3471 52730 4711 6269 4466 64197 53993 1442 1051 2433 250 90746 527 147002 32600 6157 5297 2770 51077 185585 3 2984 55156 451 2236 4262 180263 1257 90531 7048 4626 35836 100159 26308 112804 828 2478 2196 3511 536 2261 3138 83976 92008 3303 8623 19 3524 3684 4224 2392 58299 106438 3865 2108 89470 4597 95449 88932 2082 2109 6949 70545 246 26242 103245 171495 6769 494 2694 3450
johnson,5826 3 8131 2236 6375 31 179819 3095 94130 2392 852 44761 5096 7493 100737 112911 7156 3422 179813 37853 3402 168712 60397 96610 3738 5311 6967 6157 146656 2421 114074 32019 26492 51077 8743 3747 166461 170937 2927 6536 6764 5596 5802 2550 26401 5780 5979 48161 109183 103819 139855 7236 7175 3450 8016 95088 3732 2829 30894 2835 103801 26726 68848 4276 1414 2259 75 100498 5014 101076 74698 37380 1599 130520 4357 5165 70687 5108 125916 82744 113394 4544 1867 2944 77421 55250 2430 188797 148956 1566 113453 132796 4564 83976 7376 102033 186587 7986 45062
walter,2102 158972 81191 2898 7254 53129 5171 101765 8375 77866 4546 64614 5283 30994 72696 51575 7560 107141 5049 5531 4531 2093 106918 917 1965 94919 5027 4611 164 1581 3450 4969 32302 1254 4217 51086 8016 5139 109848 5187 36537 1301 3873 27912 25825 5114 7826 963 6169 1837 26151 4278 3507 8119 185033 4803 8873 5099 7093 3428 3737 3404 6184 2939 2202 6970 4490 32160 7218 2474 3405 91483 1936 459 905 6239 252 3928 6979 71970 1370 458 5742 1772 3384 25906 31116 6856 3926 2565 210 47566 2357 34143 72011 996 6732 4010 3678
matthau,167772 157122 65588 6162 152372 60161 56251 62956 612 99574 158966 80831 1704 52462 173145 72982 2700 79008 115877 93006 3249 1731 89470 7646 66297 7175 96411 94 93008 57368 90384 1805 4372 619 64032 325 106542 90428 3331 2240 74795 158022 84954 3052 8917 499 3565 1493 152063 115680 137595 44004 55444 4267 156553 54272 45 130520 87785 3019 5589 80906 75416 1352 36401 8665 103253 89840 96432 37386 54734 3308 3327 2028 165075 2104 5574 134130 109042 40583 26750 7624 71211 147374 53953 30994 169982 5418 3978 2054 2114 45726 135532 2060 149566 61160 37853 310 93270
jack,181065 78703 4064 8998 4065 5209 5155 70862 3345 344 1390 49396 487 5988 95135 3141 48161 90890 165347 100498 108188 101025 60538 5012 1252 117867 592 437 5361 8530 4873 122896 77846 2195 5836 638 909 2664 4916 4263 31083 98491 4321 5899 3167 1581 3450 1281 3957 6539 6101 3068 3396 95067 112370 7448 426 7046 110730 4529 99112 4202 4966 86880 6287 6836 5025 3676 1958 2417 149011 189043 31433 1007 2656 1837 2612 946 45666 8928 74228 1193 3507 1095 3947 3420 7394 910 6573 87194 129333 2415 7093 2522 2521 122888 82053 1572 31367
lemmon,92008 5881 2912 3503 47640 909 77846 4263 126426 1581 3450 6101 7312 1837 1095 3507 6573 910 2522 7093 6994 1390 3076 3516 7698 7753 3 3386 1083 4581
ann-margret,1626 2475 3450 1862 4925 8494 27251 2877 3 5051 5434 6400 3966 2662 105250 171495 26313 132362 1480 2912 132153 7772 22 26133 4093 25788 343 2971 25952 97470 4477 6203 2201 61071 26745 879 48883 7083 7004 60289 50800 5372 114678 84246 431 1413 4131 8331 4164 7219 4527 33669 58107 4635 104875 5189 7727 41566 7247 533 7212 6358
forest,2370 120130 138396 133716 58103 5266 802 1094 142424 164179 6281 32456 99910 3448 112460 4368 7657 5971 3328 1888 133832 68650 151695 71745 163937 3000 2710 5672 8869 4 75985 75803 59016 108540 2018 3593 179749 2354 594 45431 48738 120635 116207 674 102720 161008 48414 121781 104337
whitaker,1966 1836 93723 417 7657 1248 115502 133377 58103 5266 802 1094 164179 6281 99910 3448 3328 1888 68650 71745 8869 4 75985 75803 59016 108540 3593 85316 149352 48738 120635 116207 27008 104337
terry,4546 6062 4 30749 4467 4591 136778 1199 109187 69951 135885 1884 47465 6807 2930 60818 2968 188833 1412 2154 162 4619 4497 164753 3327 4670 426 1136 57843 4686 59336 86880 8875 1938 49278 86286 2872 6731 1361 333 5506 50806 5640 7311 26965 78266 149380 6957 36401 3919 148652 4574 2430 3108 5239 6033 2266 475 7171 102852 117192 3483 1255 3203 106839 3694 3703 4911 45440 27555 47261 45722 1980 4641 661 7340 546 106642 1080 674 58295 53125 32 3695 750 3704 270 6104 6539 98799
mcmillan,4 2154 70208 1840 134246 461 96691 131023 5219 80880 43928 55232 6710 80363 3132 4146 3053 8861 6720 5841 1527
credit,160848 6039 47721 2784 2373 121171 4942 3981 67508 35957 2972 79274 104241 3673 26236 42734 2754 32598 7070 84637 169912 116668 6920 7646 3441 306 3727 2686 1610 5498 130444 8501 106594 7115 6181 1336 1034 85397 166 1280 98239 93193 5961 4284 1686 50445 110541 4826 27878 4531 89343 373 6660 2427 81229 61026 118512 103810 7325 92234 26764 6535 48649 2804 68486 27776 26686 5630 7844 74789 507 157340 861 182727 57502 91233 118784 2791 46347 75985 3483 7317 141544 114627 2286 5092 140561 92391 57637 5224 104141 173317 8481 5012 44597 8015 2475 84523 41527
whitney,1966 93723 1836 417 1248 115502 164707 80917 133377 59738 3257 46 1459 4 1363 89281 163527
houston,7259 26366 5244 27022 44613 5588 3257 372 4 1363 123545 1926 5696
angela,298 32300 26676 7023 232 3393 114627 5797 4743 6331 3117 3179 6368 6063 39183 1635 133217 4305 70984 8620 97938 17 6534 953 55253 1187 5447 3996 3941 159510 1211 3238 269 44709 51545 1428 136654 188 147374 142448 87483 4970 43560 3843 3690 3974 69524 2779 1363 198 100397 65651 1161 4 26590 3706 4184 3246 1031 6671 132454 1835 33830 32914 52730 5390 477 3014 8864 54910 93 3689 2154 2123 2801 6093 52287 182793
bassett,124853 97785 7305 6810 381 31 1569 7566 60365 2605 3077 52767 8928 5447 1187 44709 60803 26712 3538 3185 41769 50740 1961 139747 198 2297 4 3246 4111 7845 477 8864 74683 50658 93 2154 6093 52287
loretta,25927 8611 3072 4 4184 4835
devine,111384 8371 165551 63082 89047 185435 2359 7072 5507 131920 120466 1948 160567 184015 4 157122 6280 5665 3298 104017 104243 61350 129428 3300 135532 44197 130686 130634 888 112852 32017 170875 67923 4369 102716 86644
charles,3559 3310 8511 3306 1281 3640 3629 3462 102747 3307 3632 55071 2096 4082 3641 4080 6563 1938 42556 81191 168456 80906 2852 6849 33558 49530 360 157172 1320 117466 7315 1735 72294 7618 120919 4893 757 26085 1079 861 162 7486 4327 4909 4356 59126 2747 3830 3104 4263 5979 6827 52867 8487 32302 5670 4496 4467 5817 3661 4792 6348 7062 416 5222 27523 923 3134 5564 5241 6357 7993 2737 5307 3494 6629 27689 26133 25769 2041 8302 5114 3662 5442 3660 1016 6187 387 8207 26717 5994 69784 30883 922 955 7093 1054 2598 3404
shyer,4080 360 5836 3922 8948 6944 1135 4959 7727 5
